,**recip,**break,**rhyme,**lyric
590,16,0,0,MI-
591,16,0,0,-A
592,8,0,0,R
593,4,0,0,R
594,2,0,0,R
595,=56,=56,=56,=56
597,=57,=57,=57,=57
599,=58,=58,=58,=58
601,=59,=59,=59,=59
603,=60,=60,=60,=60
605,=61,=61,=61,=61
607,=62,=62,=62,=62
609,=63,=63,=63,=63
611,=64,=64,=64,=64
613,=65,=65,=65,=65
615,=66,=66,=66,=66
617,=67,=67,=67,=67
619,=68,=68,=68,=68
621,=69,=69,=69,=69
623,=70,=70,=70,=70
625,=71,=71,=71,=71
627,=72,=72,=72,=72
629,=73,=73,=73,=73
631,=74,=74,=74,=74
633,=75,=75,=75,=75
635,=76,=76,=76,=76
637,=77,=77,=77,=77
639,=78,=78,=78,=78
641,=79,=79,=79,=79
643,=80,=80,=80,=80
644,2,0,0,R
645,8.,0,0,R
646,*>Verse3,*>Verse3,*>Verse3,*>Verse3
647,16,1,0,Je
648,8,0,0,Dan-
649,16,0,0,-se
650,16,0,0,le
651,=81,=81,=81,=81
652,16,0,0,MI-
653,8.,0,0,-A
654,8,0,0,pas
655,16,0,0,de
656,8,0,0,pa-
657,16,0,0,-co-
658,8.,0,1,-tille
659,16,2,0,Che-
660,16,0,0,-mise
661,16,0,0,ou-
662,=82,=82,=82,=82
663,4,0,0,-verte
664,8,0,0,Chaine
665,16,0,0,en
666,8,0,0,or
667,16,0,0,qui
668,8,0,1,brille
669,4,0,0,R
670,=83,=83,=83,=83
671,16,1,0,Des
672,8,0,0,ge-
673,16,0,0,-stes
674,8,0,0,lents
675,16,0,0,ils
676,16,0,0,pre-
677,16,0,0,-naient
678,16,0,0,leur
679,16,0,0,temps
680,16,0,0,pour
681,16,0,0,en-
682,16,0,0,-chai-
683,16,0,1,-ner
684,16,0,0,les
685,=84,=84,=84,=84
686,8,0,0,passes
687,16,0,0,qu'ils
688,16,0,0,avaient
689,16,0,0,e-
690,16,0,0,-e-
691,16,0,0,-la-
692,16,0,0,-bo-
693,16,0,0,-rèes-
694,16,0,0,dans
695,16,0,0,leur
696,8.,0,0,quar-
697,8,0,1,-tier
698,=85,=85,=85,=85
699,8,1,0,C'é-
700,8,0,0,-tait
701,16,0,0,vrai-
702,8,0,0,-ment
703,8,0,0,trop
704,8,0,1,beau
705,16,2,0,Un
706,8,0,0,mec
707,16,0,0,a-
708,16,0,0,-ssu-
709,=86,=86,=86,=86
710,8.,0,0,-rait
711,16,0,0,tout
712,8,0,0,l'monde
713,16,0,0,cri-
714,8,0,0,-ait
715,16,0,0,Ah
716,16,0,0,oui
717,16,0,0,mi-
718,8.,0,1,-not
719,16,1,0,La
720,=87,=87,=87,=87
721,16,0,0,pi-
722,16,0,0,-ste
723,16,0,0,s'en-
724,16,0,0,-fla-
725,16,0,1,-mmait
726,16,0,0,et
727,16,0,0,tous
728,16,0,0,les
729,8,0,0,yeux
730,16,0,0,con-
731,16,0,0,-ver-
732,8.,0,1,-geaient
733,16,1,0,Les
734,=88,=88,=88,=88
735,16,0,0,di-
736,16,0,0,-ffé-
737,16,0,0,-rents
738,16,0,0,s'e-
739,16,0,0,-ffa-
740,16,0,1,-caient
741,16,0,0,et
742,16,0,0,les
743,8,0,0,rires
744,16.,0,0,é-
745,16.,0,0,-cla-
746,8,0,1,-taient
747,16,1,0,Beau-
748,=89,=89,=89,=89
749,8.,0,0,-coup
750,16,0,0,di-
751,8.,0,0,-sait
752,16,0,0,que
753,16,0,0,nos
754,16,0,0,soi-
755,16,0,0,-rées
756,16,0,0,é-
757,16,0,0,-taient
758,16,0,0,sau-
759,16,0,1,-vages
760,16,0,0,Et
761,=90,=90,=90,=90
762,16,0,0,fa-
763,16,0,0,R
764,16,0,0,-llait
765,16,0,0,ren-
766,16,0,0,-trer
767,16,0,0,avec
768,32,0,0,une
769,32,0,0,-tte
770,16,0,0,R
771,16,0,0,ou
772,16,0,0,une
773,8,0,0,ha-
774,4,0,1,-che
775,=91,=91,=91,=91
776,8,1,0,Fou-
777,8.,0,0,-taises
778,16,0,0,c'é-
779,16,0,0,-taient
780,16,0,0,le
781,16,0,0,ra-
782,16,0,0,-gots
783,16,0,0,des
784,16,0,0,ja-
785,16,0,1,-loux
786,16,2,0,Et
787,16,0,0,quoi
788,16,0,0,qu'on
789,=92,=92,=92,=92
790,8,0,0,en
791,8.,0,0,dise
792,16,0,0,nous
793,16,0,0,on
794,8,0,0,s'a-
795,16,0,0,-mu-
796,16,0,0,-sait
797,16,0,0,beau-
798,8.,0,1,-coup
799,16,1,0,Au-
800,=93,=93,=93,=93
801,16.,0,0,-jour-
802,16.,0,0,-d'hui
803,16,0,0,en-
804,8.,0,0,-core
805,16,0,0,on
806,16,0,0,peut
807,16,0,0,en-
808,16,0,0,-ten-
809,16,0,0,-dre
810,16,0,0,des
811,16,0,0,fill-
812,16,0,0,-es
813,16,0,0,dire
